Starting 304 Sequential Iterations...
Permutation 288/304 (c=0.95, d=0.95, e=0.15)
Permutation 289/304 (c=0.95, d=0.95, e=0.20)
Permutation 290/304 (c=0.95, d=0.95, e=0.25)
Permutation 291/304 (c=0.95, d=0.95, e=0.30)
Permutation 292/304 (c=0.95, d=0.95, e=0.35)
Permutation 293/304 (c=0.95, d=0.95, e=0.40)
Permutation 294/304 (c=0.95, d=0.95, e=0.45)
Permutation 295/304 (c=0.95, d=0.95, e=0.50)
Permutation 296/304 (c=0.95, d=0.95, e=0.55)
Permutation 297/304 (c=0.95, d=0.95, e=0.60)
Permutation 298/304 (c=0.95, d=0.95, e=0.65)
Permutation 299/304 (c=0.95, d=0.95, e=0.70)
Permutation 300/304 (c=0.95, d=0.95, e=0.75)
Permutation 301/304 (c=0.95, d=0.95, e=0.80)
Permutation 302/304 (c=0.95, d=0.95, e=0.85)
Permutation 303/304 (c=0.95, d=0.95, e=0.90)
Permutation 304/304 (c=0.95, d=0.95, e=0.95)
Completed: 304/304 successful permutations.
>> 
